"Geographic Address","CO Address","LCC Address","Transponder Address","Device Address","Date","Time","Number of Lanes","Flow(Category 1)","Flow(Category 2)","Flow(Category 3)","Flow(Category 4)","Speed(Lane 1)","Speed(Lane 2)","Speed(Lane 3)","Speed(Lane 4)","Speed(Lane 5)","Speed(Lane 6)","Speed(Lane 7)","Flow(Lane 1)","Flow(Lane 2)","Flow(Lane 3)","Flow(Lane 4)","Flow(Lane 5)","Flow(Lane 6)","Flow(Lane 7)","Occupancy(Lane 1)","Occupancy(Lane 2)","Occupancy(Lane 3)","Occupancy(Lane 4)","Occupancy(Lane 5)","Occupancy(Lane 6)","Occupancy(Lane 7)","Headway(Lane 1)","Headway(Lane 2)","Headway(Lane 3)","Headway(Lane 4)","Headway(Lane 5)","Headway(Lane 6)","Headway(Lane 7)"
M1/4771B,012,7,116,322,14/02/17,00:00,3,1,0,0,1,94,137,0,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,1,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:01,3,5,1,0,2,96,125,0,-1,-1,-1,-1,4,4,0,-1,-1,-1,-1,3,1,0,-1,-1,-1,-1,103,91,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:02,3,1,0,0,0,0,162,0,-1,-1,-1,-1,0,1,0,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,102,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:03,3,2,0,0,3,97,102,0,-1,-1,-1,-1,3,2,0,-1,-1,-1,-1,2,1,0,-1,-1,-1,-1,178,136,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:04,3,4,0,0,4,94,137,0,-1,-1,-1,-1,5,3,0,-1,-1,-1,-1,4,0,0,-1,-1,-1,-1,130,194,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:05,3,0,0,0,3,87,94,0,-1,-1,-1,-1,2,1,0,-1,-1,-1,-1,2,1,0,-1,-1,-1,-1,137,-1,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:06,3,2,0,0,1,103,0,0,-1,-1,-1,-1,3,0,0,-1,-1,-1,-1,2,0,0,-1,-1,-1,-1,174,0,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:07,3,2,0,0,2,99,114,0,-1,-1,-1,-1,3,1,0,-1,-1,-1,-1,2,0,0,-1,-1,-1,-1,177,-1,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:08,3,5,0,0,1,107,126,184,-1,-1,-1,-1,2,3,1,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,214,189,-1,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:09,3,5,0,0,2,105,123,0,-1,-1,-1,-1,5,2,0,-1,-1,-1,-1,3,0,0,-1,-1,-1,-1,107,230,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:10,3,5,0,0,4,95,117,0,-1,-1,-1,-1,6,3,0,-1,-1,-1,-1,5,1,0,-1,-1,-1,-1,87,198,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:11,3,1,0,0,0,119,0,0,-1,-1,-1,-1,1,0,0,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:12,3,1,0,1,1,89,119,0,-1,-1,-1,-1,2,1,0,-1,-1,-1,-1,1,0,0,-1,-1,-1,-1,162,-1,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:13,3,4,0,0,2,94,122,0,-1,-1,-1,-1,2,4,0,-1,-1,-1,-1,2,1,0,-1,-1,-1,-1,245,138,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:14,3,2,0,0,0,134,0,0,-1,-1,-1,-1,2,0,0,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,200,0,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:15,3,2,0,0,0,116,0,0,-1,-1,-1,-1,2,0,0,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,226,0,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:16,3,1,0,0,0,0,125,0,-1,-1,-1,-1,0,1,0,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:17,3,2,0,1,1,102,115,0,-1,-1,-1,-1,2,2,0,-1,-1,-1,-1,1,0,0,-1,-1,-1,-1,-1,246,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:18,3,3,0,0,1,100,108,0,-1,-1,-1,-1,3,1,0,-1,-1,-1,-1,2,0,0,-1,-1,-1,-1,143,-1,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:19,3,1,0,0,0,0,147,0,-1,-1,-1,-1,0,1,0,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:20,3,3,0,1,5,86,114,0,-1,-1,-1,-1,5,4,0,-1,-1,-1,-1,5,2,0,-1,-1,-1,-1,122,154,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:21,3,4,0,1,2,99,132,0,-1,-1,-1,-1,5,2,0,-1,-1,-1,-1,3,0,0,-1,-1,-1,-1,146,170,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:22,3,2,0,1,0,129,114,0,-1,-1,-1,-1,1,2,0,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,145,79,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:23,3,1,0,0,0,105,0,0,-1,-1,-1,-1,1,0,0,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:24,3,1,0,0,4,98,90,0,-1,-1,-1,-1,3,2,0,-1,-1,-1,-1,2,2,0,-1,-1,-1,-1,160,134,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:25,3,4,1,0,3,100,126,0,-1,-1,-1,-1,5,3,0,-1,-1,-1,-1,4,1,0,-1,-1,-1,-1,146,124,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:26,3,2,2,0,1,112,0,0,-1,-1,-1,-1,5,0,0,-1,-1,-1,-1,2,0,0,-1,-1,-1,-1,98,0,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:27,3,1,0,0,2,88,113,0,-1,-1,-1,-1,2,1,0,-1,-1,-1,-1,2,0,0,-1,-1,-1,-1,215,-1,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:28,3,2,1,0,0,116,139,0,-1,-1,-1,-1,1,2,0,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,209,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:29,3,4,0,0,1,103,117,0,-1,-1,-1,-1,4,1,0,-1,-1,-1,-1,2,0,0,-1,-1,-1,-1,168,-1,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:30,3,2,0,0,1,93,117,0,-1,-1,-1,-1,2,1,0,-1,-1,-1,-1,1,0,0,-1,-1,-1,-1,201,-1,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:31,3,1,0,0,2,90,108,0,-1,-1,-1,-1,2,1,0,-1,-1,-1,-1,2,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:32,3,3,0,0,0,0,142,0,-1,-1,-1,-1,0,3,0,-1,-1,-1,-1,0,1,0,-1,-1,-1,-1,0,107,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:33,3,1,0,0,5,91,0,0,-1,-1,-1,-1,6,0,0,-1,-1,-1,-1,6,0,0,-1,-1,-1,-1,102,0,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:34,3,1,0,1,2,95,0,0,-1,-1,-1,-1,4,0,0,-1,-1,-1,-1,3,0,0,-1,-1,-1,-1,121,0,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:35,3,2,1,1,0,118,147,0,-1,-1,-1,-1,3,1,0,-1,-1,-1,-1,1,0,0,-1,-1,-1,-1,193,-1,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:36,3,2,0,0,3,97,0,0,-1,-1,-1,-1,5,0,0,-1,-1,-1,-1,4,0,0,-1,-1,-1,-1,115,0,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:37,3,1,0,0,2,90,140,0,-1,-1,-1,-1,2,1,0,-1,-1,-1,-1,2,0,0,-1,-1,-1,-1,195,-1,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:38,3,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:39,3,1,1,0,1,121,0,0,-1,-1,-1,-1,3,0,0,-1,-1,-1,-1,1,0,0,-1,-1,-1,-1,179,0,0,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:40,3,2,0,2,6,90,150,147,-1,-1,-1,-1,8,1,1,-1,-1,-1,-1,9,0,0,-1,-1,-1,-1,81,-1,-1,-1,-1,-1,-1
M1/4771B,012,7,116,322,14/02/17,00:41,3,2,0,0,1,100,0,0,-1,-1,-1,-1,3,0,0,-1,-1,-1,-1,2,0,0,-1,-1,-1,-1,163,0,0,-1,-1,-1,-1
