ObservationTime,ReceiveTime,ESSPollingInterval,SampleInterval,BureauLatency,PresentWeatherWmo,PresentWeatherWmo Quality,AirTemp,AirTemp Quality,DewTemp,DewTemp Quality,RelativeHumidity,RelativeHumidity Quality,AverageWindSpeed,AverageWindSpeed Quality,WindDirection,WindDirection Quality,WindGustSpeed,WindGustSpeed Quality,WindGustDirection,WindGustDirection Quality,RainState,RainState Quality,Visibility,Visibility Quality,RainIntensity,RainIntensity Quality,TotalPrecipitation,TotalPrecipitation Quality,Pressure,Pressure Quality,SnowDepth,SnowDepth Quality,AtmosphericPressureAtSeaLevel,AtmosphericPressureAtSeaLevel Quality,PrecipitationTotalLastHour,PrecipitationTotalLastHour Quality,RainOnOff,RainOnOff Quality,SolarRadiation,SolarRadiation Quality,RoadSurfaceTemp1,RoadSurfaceTemp1 Quality,RoadSurfaceState1,RoadSurfaceState1 Quality,LevelOfGrip1,LevelOfGrip1 Quality,FreezeTemp1,FreezeTemp1 Quality,CloudState1,CloudState1 Quality,GroundTemp1,GroundTemp1 Quality,DepthTemp1,DepthTemp1 Quality,WaterThickness1,WaterThickness1 Quality,AlarmStatus1,AlarmStatus1 Quality,WaterLayer1,WaterLayer1 Quality,IceLayer1,IceLayer1 Quality,SnowLayer1,SnowLayer1 Quality,ChemicalAmount1,ChemicalAmount1 Quality,DeicingConcentration1,DeicingConcentration1 Quality,WetMinutes1,WetMinutes1 Quality,Conductivity1,Conductivity1 Quality,SurfaceSignal1,SurfaceSignal1 Quality,BlackIceFrequency1,BlackIceFrequency1 Quality,LiquidusFreezeingTemperature1,LiquidusFreezeingTemperature1 Quality,RoadSurfaceTemp2,RoadSurfaceTemp2 Quality,RoadSurfaceState2,RoadSurfaceState2 Quality,LevelOfGrip2,LevelOfGrip2 Quality,FreezeTemp2,FreezeTemp2 Quality,CloudState2,CloudState2 Quality,GroundTemp2,GroundTemp2 Quality,DepthTemp2,DepthTemp2 Quality,WaterThickness2,WaterThickness2 Quality,AlarmStatus2,AlarmStatus2 Quality,WaterLayer2,WaterLayer2 Quality,IceLayer2,IceLayer2 Quality,SnowLayer2,SnowLayer2 Quality,ChemicalAmount2,ChemicalAmount2 Quality,DeicingConcentration2,DeicingConcentration2 Quality,WetMinutes2,WetMinutes2 Quality,Conductivity2,Conductivity2 Quality,SurfaceSignal2,SurfaceSignal2 Quality,BlackIceFrequency2,BlackIceFrequency2 Quality,LiquidusFreezeingTemperature2,LiquidusFreezeingTemperature2 Quality,RoadSurfaceTemp3,RoadSurfaceTemp3 Quality,RoadSurfaceState3,RoadSurfaceState3 Quality,LevelOfGrip3,LevelOfGrip3 Quality,FreezeTemp3,FreezeTemp3 Quality,CloudState3,CloudState3 Quality,GroundTemp3,GroundTemp3 Quality,DepthTemp3,DepthTemp3 Quality,WaterThickness3,WaterThickness3 Quality,AlarmStatus3,AlarmStatus3 Quality,WaterLayer3,WaterLayer3 Quality,IceLayer3,IceLayer3 Quality,SnowLayer3,SnowLayer3 Quality,ChemicalAmount3,ChemicalAmount3 Quality,DeicingConcentration3,DeicingConcentration3 Quality,WetMinutes3,WetMinutes3 Quality,Conductivity3,Conductivity3 Quality,SurfaceSignal3,SurfaceSignal3 Quality,BlackIceFrequency3,BlackIceFrequency3 Quality,LiquidusFreezeingTemperature3,LiquidusFreezeingTemperature3 Quality,RoadSurfaceTemp4,RoadSurfaceTemp4 Quality,RoadSurfaceState4,RoadSurfaceState4 Quality,LevelOfGrip4,LevelOfGrip4 Quality,FreezeTemp4,FreezeTemp4 Quality,CloudState4,CloudState4 Quality,GroundTemp4,GroundTemp4 Quality,DepthTemp4,DepthTemp4 Quality,WaterThickness4,WaterThickness4 Quality,AlarmStatus4,AlarmStatus4 Quality,WaterLayer4,WaterLayer4 Quality,IceLayer4,IceLayer4 Quality,SnowLayer4,SnowLayer4 Quality,ChemicalAmount4,ChemicalAmount4 Quality,DeicingConcentration4,DeicingConcentration4 Quality,WetMinutes4,WetMinutes4 Quality,Conductivity4,Conductivity4 Quality,SurfaceSignal4,SurfaceSignal4 Quality,BlackIceFrequency4,BlackIceFrequency4 Quality,LiquidusFreezeingTemperature4,LiquidusFreezeingTemperature4 Quality,HardwareStatus-RemoteSurfaceSensor,HardwareStatus-RemoteSurfaceSensor Quality,RelayState,RelayState Quality,BatteryVoltage,BatteryVoltage Quality,HardwareStatus-ESS,HardwareStatus-ESS Quality,VisibilitySensorStatus,VisibilitySensorStatus Quality,
14/02/2017 11:40:00,14/02/2017 11:47:54,10,10,0,NothingObstructingHorizontalVisibility,Good,7.6,Good,6.5,Good,93,Good,13.32,Good,195,Good,20.16,Good,258,Good,NoPrecipitation,Good,2000,Good,0,Good,0,Good,,,0,Good,,,,,Off,NotPerformed,,,11.8,Good,Dry,NotPerformed,,,-0.6,Good,CloudyNotRaining,NotPerformed,9.9,Good,6.4,Good,0,Good,NoWarning,NotPerformed,,,,,,,0.0002,Good,366.2,Good,,,0,NotPerformed,0.2,NotPerformed,110,NotPerformed,-0.6,Good,10.9,Good,Dry,NotPerformed,,,-0.1,Good,CloudyNotRaining,NotPerformed,9.1,Good,,,0,Good,NoWarning,NotPerformed,,,,,,,0,Good,363.5,Good,,,0,NotPerformed,0.3,NotPerformed,110,NotPerformed,-0.1,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AllOk,NotPerformed,VisibilityOkHardwareOk,NotPerformed,
14/02/2017 11:30:00,14/02/2017 11:37:43,10,10,0,NothingObstructingHorizontalVisibility,Good,7.8,Good,6.5,Good,92,Good,14.76,Good,189,Good,24.48,Good,243,Good,NoPrecipitation,Good,2000,Good,0,Good,0,Good,,,0,Good,,,,,Off,NotPerformed,,,12,Good,Dry,NotPerformed,,,-0.6,Good,CloudyNotRaining,NotPerformed,9.9,Good,6.3,Good,0,Good,NoWarning,NotPerformed,,,,,,,0.0002,Good,366.8,Good,,,0,NotPerformed,0.2,NotPerformed,110,NotPerformed,-0.6,Good,11.1,Good,Dry,NotPerformed,,,-0.1,Good,CloudyNotRaining,NotPerformed,9.1,Good,,,0,Good,NoWarning,NotPerformed,,,,,,,0,Good,364.1,Good,,,0,NotPerformed,0.3,NotPerformed,110,NotPerformed,-0.1,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AllOk,NotPerformed,VisibilityOkHardwareOk,NotPerformed,
14/02/2017 11:20:00,14/02/2017 11:28:03,10,10,0,NothingObstructingHorizontalVisibility,Good,8.3,Good,6.7,Good,89,Good,13.68,Good,191,Good,21.96,Good,234,Good,NoPrecipitation,Good,2000,Good,0,Good,0,Good,,,0,Good,,,,,Off,NotPerformed,,,12.5,Good,Dry,NotPerformed,,,-0.6,Good,CloudyNotRaining,NotPerformed,9.8,Good,6.3,Good,0,Good,NoWarning,NotPerformed,,,,,,,0.0002,Good,368.1,Good,,,0,NotPerformed,0.3,NotPerformed,110,NotPerformed,-0.6,Good,11.5,Good,Dry,NotPerformed,,,-0.1,Good,CloudyNotRaining,NotPerformed,9,Good,,,0,Good,NoWarning,NotPerformed,,,,,,,0,Good,365.1,Good,,,0,NotPerformed,0.4,NotPerformed,110,NotPerformed,-0.1,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AllOk,NotPerformed,VisibilityOkHardwareOk,NotPerformed,
14/02/2017 11:10:00,14/02/2017 11:28:00,10,10,0,NothingObstructingHorizontalVisibility,Good,8.8,Good,6.9,Good,88,Good,12.6,Good,188,Good,18.72,Good,237,Good,NoPrecipitation,Good,2000,Good,0,Good,0,Good,,,0,Good,,,,,Off,NotPerformed,,,12.7,Good,Dry,NotPerformed,,,-0.6,Good,CloudyNotRaining,NotPerformed,9.7,Good,6.2,Good,0,Good,NoWarning,NotPerformed,,,,,,,0.0002,Good,368.7,Good,,,0,NotPerformed,0.4,NotPerformed,110,NotPerformed,-0.6,Good,11.7,Good,Dry,NotPerformed,,,-0.1,Good,CloudyNotRaining,NotPerformed,8.9,Good,,,0,Good,NoWarning,NotPerformed,,,,,,,0,Good,365.8,Good,,,0,NotPerformed,0.6,NotPerformed,110,NotPerformed,-0.1,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AllOk,NotPerformed,VisibilityOkHardwareOk,NotPerformed,
14/02/2017 11:00:00,14/02/2017 11:07:46,10,10,0,NothingObstructingHorizontalVisibility,Good,8.9,Good,6.9,Good,87,Good,11.52,Good,192,Good,18.72,Good,237,Good,NoPrecipitation,Good,2000,Good,0,Good,0,Good,,,0,Good,,,,,Off,NotPerformed,,,12.5,Good,Dry,NotPerformed,,,-0.7,Good,CloudyNotRaining,NotPerformed,9.6,Good,6.2,Good,0,Good,NoWarning,NotPerformed,,,,,,,0.0002,Good,368.2,Good,,,0,NotPerformed,0.5,NotPerformed,110,NotPerformed,-0.7,Good,11.6,Good,Dry,NotPerformed,,,-0.1,Good,CloudyNotRaining,NotPerformed,8.8,Good,,,0,Good,NoWarning,NotPerformed,,,,,,,0,Good,365.4,Good,,,0,NotPerformed,0.7,NotPerformed,110,NotPerformed,-0.1,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AllOk,NotPerformed,VisibilityOkHardwareOk,NotPerformed,
14/02/2017 10:50:00,14/02/2017 10:57:46,10,10,0,NothingObstructingHorizontalVisibility,Good,8.8,Good,6.7,Good,87,Good,12.6,Good,191,Good,20.52,Good,237,Good,NoPrecipitation,Good,2000,Good,0,Good,0,Good,,,0,Good,,,,,Off,NotPerformed,,,12.6,Good,Dry,NotPerformed,,,-0.7,Good,CloudyNotRaining,NotPerformed,9.5,Good,6.1,Good,0,Good,NoWarning,NotPerformed,,,,,,,0.0002,Good,368.4,Good,,,0,NotPerformed,0.6,NotPerformed,110,NotPerformed,-0.7,Good,11.5,Good,Dry,NotPerformed,,,-0.1,Good,CloudyNotRaining,NotPerformed,8.7,Good,,,0,Good,NoWarning,NotPerformed,,,,,,,0,Good,365.1,Good,,,0,NotPerformed,0.9,NotPerformed,110,NotPerformed,-0.1,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AllOk,NotPerformed,VisibilityOkHardwareOk,NotPerformed,
14/02/2017 10:40:00,14/02/2017 10:47:48,10,10,0,NothingObstructingHorizontalVisibility,Good,9.1,Good,6.6,Good,85,Good,10.8,Good,189,Good,16.2,Good,222,Good,NoPrecipitation,Good,2000,Good,0,Good,0,Good,,,0,Good,,,,,Off,NotPerformed,,,13.1,Good,Dry,NotPerformed,,,-0.7,Good,ClearNotRaining,NotPerformed,9.2,Good,6.1,Good,0,Good,NoWarning,NotPerformed,,,,,,,0.0002,Good,369.7,Good,,,0,NotPerformed,0.8,NotPerformed,108,NotPerformed,-0.7,Good,12,Good,Dry,NotPerformed,,,-0.1,Good,CloudyNotRaining,NotPerformed,8.4,Good,,,0,Good,NoWarning,NotPerformed,,,,,,,0,Good,366.8,Good,,,0,NotPerformed,1.2,NotPerformed,113,NotPerformed,-0.1,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AllOk,NotPerformed,VisibilityOkHardwareOk,NotPerformed,
14/02/2017 10:30:00,14/02/2017 10:37:45,10,10,0,NothingObstructingHorizontalVisibility,Good,9.4,Good,7,Good,85,Good,8.64,Good,192,Good,15.12,Good,234,Good,NoPrecipitation,Good,2000,Good,0,Good,0,Good,,,0,Good,,,,,Off,NotPerformed,,,13.2,Good,Dry,NotPerformed,,,-0.7,Good,ClearNotRaining,NotPerformed,9,Good,6,Good,0,Good,NoWarning,NotPerformed,,,,,,,0.0002,Good,370,Good,,,0,NotPerformed,1,NotPerformed,110,NotPerformed,-0.7,Good,12.3,Good,Dry,NotPerformed,,,-0.1,Good,ClearNotRaining,NotPerformed,8.2,Good,,,0,Good,NoWarning,NotPerformed,,,,,,,0,Good,367.5,Good,,,0,NotPerformed,1.6,NotPerformed,110,NotPerformed,-0.1,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AllOk,NotPerformed,VisibilityOkHardwareOk,NotPerformed,
14/02/2017 10:20:00,14/02/2017 10:27:48,10,10,0,NothingObstructingHorizontalVisibility,Good,9,Good,6.9,Good,86,Good,9.72,Good,189,Good,14.76,Good,234,Good,NoPrecipitation,Good,2000,Good,0,Good,0,Good,,,0,Good,,,,,Off,NotPerformed,,,12.4,Good,Dry,NotPerformed,,,-0.7,Good,ClearNotRaining,NotPerformed,8.8,Good,6,Good,0,Good,NoWarning,NotPerformed,,,,,,,0.0002,Good,367.9,Good,,,0,NotPerformed,1.3,NotPerformed,108,NotPerformed,-0.7,Good,11.7,Good,Dry,NotPerformed,,,-0.1,Good,ClearNotRaining,NotPerformed,8.1,Good,,,0,Good,NoWarning,NotPerformed,,,,,,,0,Good,365.7,Good,,,0,NotPerformed,2,NotPerformed,110,NotPerformed,-0.1,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AllOk,NotPerformed,VisibilityOkHardwareOk,NotPerformed,
14/02/2017 10:10:00,14/02/2017 10:27:45,10,10,0,NothingObstructingHorizontalVisibility,Good,8.5,Good,6.5,Good,87,Good,9,Good,188,Good,14.76,Good,233,Good,NoPrecipitation,Good,2000,Good,0,Good,0,Good,,,0,Good,,,,,Off,NotPerformed,,,11.4,Good,Dry,NotPerformed,,,-0.7,Good,CloudyNotRaining,NotPerformed,8.7,Good,5.9,Good,0,Good,NoWarning,NotPerformed,,,,,,,0.0002,Good,365,Good,,,0,NotPerformed,1.7,NotPerformed,108,NotPerformed,-0.7,Good,10.5,Good,Moist,NotPerformed,,,-0.1,Good,CloudyNotRaining,NotPerformed,7.9,Good,,,0,Good,NoWarning,NotPerformed,,,,,,,0,Good,362.6,Good,,,0.1,NotPerformed,2.6,NotPerformed,110,NotPerformed,-0.1,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AllOk,NotPerformed,VisibilityOkHardwareOk,NotPerformed,
